joint,n_train,n_val,n_test,test_acc,test_f1_macro
pip2,2413,520,522,0.7260536398467433,0.4074207531608528
pip3,2395,516,519,0.6724470134874759,0.35160014395867506
pip4,2415,517,515,0.6446601941747573,0.3211674347158218
pip5,2409,515,516,0.7558139534883721,0.48085191967647656
