epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.7764667959021574,0.6572731040198923,0.6563879043590426,0.7647514600020189,0.7153846153846154,0.32113043931440344
2,0.4994184309103358,0.7807708246995442,0.785355374103406,0.7305531483430129,0.7,0.3677711476273394
3,0.42276289888649526,0.8168255283878989,0.8164464625289192,0.9099139837118295,0.6134615384615385,0.33286429200553636
4,0.3640256479129325,0.8421052631578947,0.8360073997869716,0.9435035723906297,0.5788461538461539,0.34318146718146714
5,0.3436237180252763,0.8619975134687111,0.8604392752800758,0.7055019222773038,0.7365384615384616,0.31892936405258515
6,0.293700689912287,0.8843762950683796,0.8848307678002001,0.6271134596604567,0.7615384615384615,0.397128453180781
7,0.2767364731775593,0.8984666390385412,0.8979394912336293,0.7649315357208252,0.698076923076923,0.29381152450550024
8,0.2612665405151906,0.8968089515126398,0.8979427191421738,0.6689288840844081,0.7769230769230769,0.32162324383183283
9,0.2166750387277437,0.9117281392457521,0.9135961924645872,1.1277336459893448,0.6153846153846154,0.3006435176556844
10,0.19483372135264618,0.9237463738085371,0.9228534583856923,0.7720580321091872,0.7826923076923077,0.30234607607101005
11,0.1772307432567337,0.9332780770824699,0.9342088460936158,0.7397514091088222,0.7711538461538462,0.33587264051349186
12,0.1539631470099209,0.9415665147119768,0.9427378075230836,0.7757651209831238,0.7442307692307693,0.3058800235130822
