epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.6172831266585547,0.7341838335250445,0.7326447589244122,0.6842555823392489,0.6918096471349952,0.5308958678960457
2,0.4241414227737131,0.8197915577399003,0.8192852820405516,0.6877062773002163,0.7086435739721593,0.5551200479294514
3,0.38210400648329645,0.837672975704974,0.8390348128801384,0.7191334296368828,0.6958562641631596,0.5241086440884554
4,0.3473364075587956,0.8541252744954512,0.8554205283942491,0.46166403478270174,0.8180640984137261,0.5854648664219904
5,0.3330723700883967,0.8598417511938373,0.860525037687076,0.6080357199851345,0.7436063450955002,0.552649436836113
6,0.29967929816303374,0.8767820418975915,0.8781128163707279,0.55020655409423,0.7965360958238912,0.5803909564553079
7,0.2760546767053867,0.8903063892084074,0.8916342088160171,0.5488785186239182,0.7886047264486888,0.5853177127356621
8,0.2590464254531969,0.8990553870821569,0.8987787421205125,0.6288963310847432,0.7550987374554872,0.5954706064919532
9,0.23635561042321623,0.9089197950433964,0.908545959978967,0.692175058417044,0.7304953059242474,0.5698671860886066
10,0.2141877555352748,0.91881905956987,0.9192075659526349,0.6579979726047954,0.7733894464227905,0.5822422039660908
11,0.19463102818896236,0.925058384746767,0.9254716453909042,0.6060262915770882,0.7968598251861444,0.5874304503349046
12,0.18405018367324885,0.9289274634877479,0.9295082767707001,0.6132477058701316,0.7772741987698284,0.5672939338089397
