epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.5849577016236912,0.7466276273136045,0.74613186598506,0.543443772062664,0.7640012949174491,0.5498479769386352
2,0.41223831860437987,0.820767541566454,0.8205207819040463,0.5693261416917791,0.7489478795726773,0.578075258825576
3,0.363730125320623,0.8439123008818711,0.8435173744512623,0.5402041679063095,0.777436063450955,0.5828504111865287
4,0.33542106077638556,0.8604343128028165,0.8609851814682145,0.7152549857728957,0.7021689867270962,0.5110232557570931
5,0.303439469168595,0.876015197462442,0.8763787918976818,0.5352040470206031,0.7905471026222078,0.5340632001367295
6,0.2741904409282267,0.8897138275994283,0.8891259632875093,0.5370181976456054,0.7886047264486888,0.5682477145923001
7,0.2508219453984055,0.9004496496915194,0.9010214632854388,0.6167307546046915,0.7589834898025251,0.5846113226989313
8,0.2267388674354619,0.9107671930008017,0.9108045240318526,0.7401394127796058,0.7081579799287795,0.5347137752327221
9,0.20627710788308726,0.9197253302659556,0.9197526607963461,0.6972436723526955,0.7510521204273227,0.5548134548836333
10,0.18942326696329823,0.9259646554428527,0.9264204550234639,0.6081345613892698,0.8047911945613467,0.5494475336549949
11,0.17084622928387258,0.935201645229879,0.9349760449546111,0.6660458408308169,0.7623826481061833,0.551768549282624
12,0.16566161888483166,0.9382341664052424,0.9381352430965165,0.6289828065607918,0.8022013596633215,0.5804436262334983
