epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.4513157746473024,0.8213247508305648,0.8209499538816898,0.27270853149072344,0.8979690522243714,0.8989077136065313
2,0.21814786033871958,0.917358803986711,0.9172679540040337,0.13515489474227166,0.9535783365570599,0.9535751577419991
3,0.1481300162126703,0.9476744186046512,0.9476320858658265,0.10961264371871948,0.960348162475822,0.9602809012848138
4,0.13152050989311795,0.9514119601328903,0.9513770248930997,0.10744181528283964,0.9598646034816247,0.959634766191727
5,0.08800986318530335,0.9671926910299004,0.9671876547919307,0.09432043656490642,0.9714700193423598,0.9715883287987108
6,0.07784226364487058,0.9721760797342193,0.9721735665137187,0.05727799405430298,0.9816247582205029,0.9816196143048643
7,0.07586915019058013,0.9709302325581395,0.9709117368623815,0.07268099957352911,0.9680851063829787,0.9679116081329487
8,0.07032809898866792,0.9730066445182725,0.9729894615903361,0.049908579894606335,0.9796905222437138,0.9796697075802401
9,0.049012146808556666,0.9833887043189369,0.9833811874449777,0.07584051736963758,0.9705029013539652,0.9704574971674328
10,0.05430848967512927,0.9819352159468439,0.9819269629770202,0.10008692823357634,0.9622823984526112,0.9623237684501619
11,0.050999743881731285,0.9826619601328903,0.9826527204202495,0.07337010008277556,0.97678916827853,0.9767609694750033
12,0.045875219121556794,0.982765780730897,0.9827539426540775,0.17802919024814143,0.9395551257253385,0.9391565274016951
