component,anova_stat,anova_p,kruskal_stat,kruskal_p
PC1,285.4235310871254,9.370544824695425e-180,816.4264253755645,1.1849058660068434e-176
PC2,877.7269565394257,0.0,2870.929602382426,0.0
PC3,728.8649747991655,0.0,2424.489416346386,0.0
PC4,268.648136006183,1.8427533430221196e-169,846.402824552171,3.734244312465314e-183
PC5,347.56816571328045,1.3783318134486135e-217,857.5303564277503,1.4411840513706714e-185
